epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,300.612,2.06449,2.88452,1.31975,0.66114,0.81751,0.70655,0.32735,1.36489,28.8809,0.93549,0.000332709,0.000332709,0.000332709
2,599.499,1.86135,1.36006,1.20699,0.67857,0.85476,0.78669,0.35987,1.34158,31.0735,0.91023,0.000644063,0.000644063,0.000644063
3,896.2,1.8379,1.25119,1.17953,0.80815,0.85014,0.86068,0.40039,1.36368,22.6493,0.91812,0.000933417,0.000933417,0.000933417
4,1192.08,1.78698,1.14829,1.16568,0.86136,0.88771,0.92792,0.46496,1.28766,19.1265,0.88839,0.000901,0.000901,0.000901
5,1488,1.74853,1.04886,1.14465,0.9317,0.92275,0.96452,0.47856,1.28394,4.27623,0.87874,0.000868,0.000868,0.000868
6,1783.55,1.70848,0.97282,1.12396,0.93941,0.94281,0.96482,0.5044,1.24414,3.07586,0.86438,0.000835,0.000835,0.000835
7,2078.89,1.6765,0.9224,1.11545,0.96325,0.94627,0.97413,0.5134,1.26463,2.41331,0.8719,0.000802,0.000802,0.000802
8,2374.13,1.66948,0.89848,1.10868,0.92226,0.92443,0.96139,0.51481,1.24571,0.76059,0.86575,0.000769,0.000769,0.000769
9,2669.08,1.66214,0.87065,1.10453,0.94282,0.95442,0.96922,0.51051,1.25725,1.11646,0.8698,0.000736,0.000736,0.000736
10,2964.56,1.63788,0.84193,1.09528,0.94822,0.96321,0.97503,0.51733,1.24267,9.21305,0.86351,0.000703,0.000703,0.000703
11,3259.67,1.61834,0.80702,1.08964,0.90767,0.96033,0.94551,0.51395,1.22032,18.2194,0.85206,0.00067,0.00067,0.00067
12,3554.83,1.60383,0.79002,1.08256,0.96604,0.97406,0.98363,0.53418,1.21492,4.65497,0.85136,0.000637,0.000637,0.000637
13,3850.23,1.59064,0.76843,1.08035,0.96243,0.97582,0.98185,0.53961,1.20132,2.73261,0.84268,0.000604,0.000604,0.000604
14,4145.89,1.57817,0.75838,1.07434,0.97376,0.97914,0.98184,0.55616,1.16761,0.63095,0.8334,0.000571,0.000571,0.000571
15,4441.31,1.55321,0.73348,1.06531,0.97697,0.98007,0.98528,0.55034,1.18787,2.56079,0.83825,0.000538,0.000538,0.000538
16,4736.74,1.55033,0.71628,1.06593,0.97233,0.97898,0.98575,0.56945,1.16148,0.79631,0.83313,0.000505,0.000505,0.000505
17,5032.03,1.52776,0.70216,1.05545,0.97823,0.9702,0.98499,0.5663,1.16907,1.17186,0.83457,0.000472,0.000472,0.000472
18,5327.3,1.51134,0.69079,1.05131,0.97544,0.98188,0.98781,0.57098,1.15327,0.5386,0.82639,0.000439,0.000439,0.000439
19,5622.6,1.5074,0.67389,1.05364,0.97041,0.97614,0.98648,0.57017,1.14952,2.52539,0.82866,0.000406,0.000406,0.000406
20,5917.22,1.47174,0.65585,1.0402,0.97711,0.97731,0.98624,0.57365,1.15187,0.47438,0.82634,0.000373,0.000373,0.000373
21,6212.49,1.46951,0.61605,1.0814,0.97786,0.97808,0.98819,0.57761,1.13489,0.68022,0.82161,0.00034,0.00034,0.00034
22,6507,1.45595,0.60602,1.07821,0.97762,0.98101,0.98686,0.5796,1.13188,0.49238,0.82008,0.000307,0.000307,0.000307
23,6801.81,1.4309,0.5908,1.07116,0.97293,0.98738,0.98743,0.58355,1.12803,0.61084,0.8191,0.000274,0.000274,0.000274
24,7096.62,1.41603,0.58972,1.06166,0.9763,0.98452,0.98774,0.59265,1.10904,0.66086,0.81169,0.000241,0.000241,0.000241
25,7391.68,1.39528,0.56461,1.06347,0.97538,0.99145,0.9895,0.58443,1.12853,0.53588,0.81882,0.000208,0.000208,0.000208
26,7685.72,1.38307,0.55913,1.05274,0.97744,0.98727,0.98881,0.59473,1.11608,0.43584,0.81444,0.000175,0.000175,0.000175
27,7980.35,1.36136,0.54112,1.04808,0.97698,0.98844,0.98882,0.60138,1.09298,0.45308,0.80669,0.000142,0.000142,0.000142
28,8275.21,1.34244,0.54177,1.03947,0.97804,0.98941,0.99097,0.6047,1.09046,0.42843,0.8066,0.000109,0.000109,0.000109
29,8570.33,1.3218,0.52878,1.03749,0.97581,0.99107,0.9904,0.60811,1.0785,0.47115,0.80281,7.6e-05,7.6e-05,7.6e-05
30,8865.57,1.3131,0.52347,1.03145,0.97424,0.99162,0.99059,0.60832,1.07559,0.44711,0.80182,4.3e-05,4.3e-05,4.3e-05
